Vodík;H
Helium;He
Lithium;Li
Beryllium;Be
Bor;B
Uhlík;C
Dusík;N
Kyslík;O
Fluor;F
Neon;Ne
Sodík;Na
Hořčík;Mg 
Hliník;Al
Křemík;Si
Fosfor;P
Síra;S 
Chlor;Cl
Argon;Ar
Draslík;K
Vápník;Ca 
Skancium;Sc
Titan;Ti
Vanad;V
Chrom;Cr
Mangan;Mn
Železo;Fe
Kobalt;Co
Nikl;Ni 
Měď;Cu
Zinek;Zn
Gallium;Ga
Germanium;Ge
Arsen;As
Selen;Se
Brom;Br
Krypton;Kr
Rubidium;Rb
Stroncium;Sr
Yttrium;Y
Zirkonium;Zr
Niob;Nb
Molybden;Mo
Technecium;Tc
Ruthenium;Rh
Rhodium;Rh 
Palladium;Pd
Stříbro;Ag
Kadmium;Cd
Indium;In
Cín;Sn
Antimon;Sb
Tellur;Te
Jod;I
Xenon;Xe
Cesium;Cs
Baryum;Ba
Lanthan;La
Cer;Ce
Praseodym;Pr
Neodym;Nd
Promethium;Pm
Samarium;Sm
Europium;Eu
Gadolinium;Gd
Terbium;Tb
Dysprosium;Dy
Holmium;Ho
Erbium;Er
Thulium;Tm
Ytterbium;Yb 
Lutecium;Lu
Hafnium;Hf
Tantal;Ta
Wolfram;W
Rhenium;Re
Osmium;Os
Iridium;Ir
Platina;Pt
Zlato;Au
rtuť;Hg
Thallium;Tl
Olovo;Pb
Bismut;Bi
Polonium;Po
Astat;At
Radon;Rn
Francium;Fr
Radium;Ra 
Aktinium;Ac
Thorium;Th
Protaktinium;Pa
Uran;U
Neptunium;Np
Plutonium;Pu
Americium;Am
Curium;Cm
Berkelium;Bk
Kalifornium;Cf
Einsteinium;Es
Fermium;Fm
Mendelevium;Md
Nobelium;No
Lawrencium;Lr
Rutherfordium;Rf 
Dubnium;Db
Seaborgium;Sg
Bohrium;Bh
Hassium;Hs
Meitnerium;Mt
Darmstadtium;Ds
Roentgenium;Rg 
Kopernicium;Cn
Nihonium;Nh
Flerovium;Fl
Moscovium;Mc
Livermorium;Lv
Tennessine;Ts
Oganesson;Og
